"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1NJUN0028","40.708904","-74.321518","37.5","2023-06",,,,"13","7",,,,,,,,,,,"0.89",,,,"3.30",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-07",,,,"15","10",,,,,,,,,,,"2.18",,,,"5.80",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-09",,,,"15","12",,,,,,,,,,,"1.18",,,,"7.24",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-10",,,,"12","6",,,,,,,,,,,"1.14",,,,"3.25",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-11",,,,"5","2",,,,,,,,,,,"2.55",,,,"3.99",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-03",,,,"14","9",,,,,,,,,,,"2.07",,,,"8.43",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-04",,,,"14","8",,,,,,,,,,,"1.53",,,,"4.65",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-05",,,,"16","11",,,,,,,,,,,"1.04",,,,"4.47",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-06",,,,"9","7",,,,,,,,,,,"0.74",,,,"2.30",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-07",,,,"12","7",,,,,,,,,,,"2.68",,,,"5.50",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-08",,,,"12","9",,,,,,,,,,,"1.29",,,,"5.46",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-09",,,,"12","10",,,,,,,,,,,"1.54",,,,"6.20",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-10",,,,"9","6",,,,,,,,,,,"0.63",,,,"2.39",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-11",,,,"4","3",,"0",,,,,,,,"0.0","1.15",,,,"1.50","0.0",,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-12",,,,"11","8",,,,,,,,,,,"3.26",,,,"8.30",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-01",,,,"11","8",,,,,,,,,,,"2.41",,,,"6.60",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-02",,,,"8","5",,,,,,,,,,,"0.51",,,,"1.26",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-03",,,,"14","9",,,,,,,,,,,"2.35",,,,"9.80",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-04",,,,"12","6",,,,,,,,,,,"1.51",,,,"4.17",,,,,,,,
"USW00014734","40.68275","-74.16927","1.9","2023-06","8.1","291","204","9","5","0","0","0","0","0","30","1","49","0","0.0","0.90","91","3887","6","2.67","0.0","71.6","80.7","62.5","350","350","35.1","42"
"USW00014734","40.68275","-74.16927","1.9","2023-07","7.4","775","483","13","10","0","0","0","0","0","31","14","64","0","0.0","1.49","96","0","0","6.26","0.0","80.6","89.1","72.1","230","240","36.0","46"
"USW00014734","40.68275","-74.16927","1.9","2023-08","8.5","1136","362","11","9","0","0","0","0","0","31","5","62","0","0.0","0.91","91","0","0","4.26","0.0","76.7","84.5","68.8","320","320","31.1","37"
"USW00014734","40.68275","-74.16927","1.9","2023-09","9.2","1348","212","14","10","0","0","0","0","0","23","6","51","0","0.0","1.72","97","26","26","8.31","0.0","71.2","78.9","63.5","190","190","31.1","39"
"USW00014734","40.68275","-74.16927","1.9","2023-10","8.1","1401","53","9","7","0","0","0","0","0","14","0","44","0","0.0","1.83","85","174","148","4.02","0.0","62.0","70.6","53.3","320","290","29.1","41"
"USW00014734","40.68275","-74.16927","1.9","2023-11","9.2","1401","0","4","3","0","0","0","7","0","1","0","27","0","0.0","1.46","70","724","551","2.91","0.0","46.7","55.7","37.6","280","110","28.0","40"
"USW00014734","40.68275","-74.16927","1.9","2023-12","8.3","1401","0","10","8","0","0","0","9","0","0","0","25","0","0.0","2.75","64","1366","641","7.56","0.0","44.3","50.8","37.9","170","140","32.0","48"
"USW00014734","40.68275","-74.16927","1.9","2024-01","9.8","0","0","16","10","7","1","0","16","4","0","0","17","2","1.7","2.05","61","2223","857","5.53","3.1","37.4","43.3","31.4","260","270","40.0","50"
"USW00014734","40.68275","-74.16927","1.9","2024-02","8.9","0","0","7","5","5","2","0","17","0","0","0","19","4","4.9","0.58","63","2955","732","1.75","9.1","39.8","47.4","32.1","280","270","42.9","64"
"USW00014734","40.68275","-74.16927","1.9","2024-03","11.0","0","0","11","6","0","0","0","4","0","3","0","29","0","0.0","3.10","75","3468","513","8.00","0.0","48.5","56.5","40.4","290","290","44.1","59"
"USW00014734","40.68275","-74.16927","1.9","2024-04","9.8","12","12","12","6","0","0","0","0","0","8","0","38","0","0.0","1.84","86","3776","308","3.85","0.0","55.1","63.6","46.7","260","260","36.9","56"
"USW00014734","40.68275","-74.16927","1.9","2024-05","8.3","132","120","13","7","0","0","0","0","0","22","1","46","0","0.0","0.63","90","3851","76","2.80","0.0","66.4","75.2","57.6","240","250","35.1","48"
"USW00014732","40.77945","-73.88027","3.0","2023-06","9.6","272","186","12","3","0","0","0","0","0","29","1","51","0","0.0","0.39","90","3819","8","1.04","0.0","70.9","78.5","63.3","350","360","25.1","36"
"USW00014732","40.77945","-73.88027","3.0","2023-07","8.3","750","478","13","10","0","0","0","0","0","31","10","67","0","0.0","1.39","95","0","0","5.39","0.0","80.4","87.5","73.3","270","260","36.9","53"
"USW00014732","40.77945","-73.88027","3.0","2023-08","9.4","1090","340","11","9","0","0","0","0","0","31","0","65","0","0.0","1.57","88","0","0","7.89","0.0","76.0","82.1","69.8","270","290","36.9","51"
"USW00014732","40.77945","-73.88027","3.0","2023-09","10.5","1301","211","13","10","0","0","0","0","0","21","5","53","0","0.0","4.10","96","31","31","12.76","0.0","71.0","76.9","65.1","60","60","36.0","44"
"USW00014732","40.77945","-73.88027","3.0","2023-10","8.7","1357","55","9","7","0","0","0","0","0","13","0","46","0","0.0","0.94","84","178","146","4.18","0.0","62.1","68.4","55.7","280","270","30.0","38"
"USW00014732","40.77945","-73.88027","3.0","2023-11","10.3","1357","0","5","3","0","0","0","2","0","0","0","28","0","0.0","1.78","66","702","524","2.77","0.0","47.5","53.8","41.3","300","120","32.0","43"
"USW00014732","40.77945","-73.88027","3.0","2023-12","10.3","1357","0","10","8","0","0","0","4","0","0","0","26","0","0.0","2.13","63","1343","641","6.71","0.0","44.3","49.2","39.4","140","160","38.0","54"
"USW00014732","40.77945","-73.88027","3.0","2024-01","12.1","0","0","16","9","5","2","0","13","5","0","0","19","2","2.0","1.95","60","2205","862","5.81","3.9","37.2","41.9","32.5","160","160","40.0","55"
"USW00014732","40.77945","-73.88027","3.0","2024-02","10.5","0","0","8","5","4","2","0","14","0","0","0","24","3","3.3","0.64","60","2940","735","1.88","6.6","39.6","45.6","33.7","300","240","36.9","55"
"USW00014732","40.77945","-73.88027","3.0","2024-03","12.3","0","0","12","7","0","0","0","4","0","2","0","29","0","0.0","3.47","72","3490","549","9.62","0.0","47.3","54.3","40.3","310","320","38.0","58"
"USW00014732","40.77945","-73.88027","3.0","2024-04","11.4","10","10","10","5","0","0","0","0","0","5","0","37","0","0.0","1.75","85","3841","351","3.61","0.0","53.7","60.8","46.5","60","60","38.9","53"
"USW00014732","40.77945","-73.88027","3.0","2024-05","9.2","99","89","13","10","0","0","0","0","0","21","0","49","0","0.0","0.74","86","3932","91","2.85","0.0","64.9","72.3","57.5","50","250","31.1","43"
"US1NJBG0065","40.81007","-74.133975","6.4","2023-06",,,,"9","6",,,,,,,,,,,"0.91",,,,"2.29",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-07",,,,"11","7",,,,,,,,,,,"1.12",,,,"4.53",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-08",,,,,,,,,,,,,,,,,,,,"5.12",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-09",,,,"15","11",,,,,,,,,,,"1.25",,,,"8.09",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-10",,,,"11","8",,,,,,,,,,,"1.94",,,,"5.70",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-11",,,,"8","2",,,,,,,,,,,"2.55",,,,"3.69",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-06",,,,"10","6",,,,,,,,,,,"0.78",,,,"2.23",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-07",,,,"15","10",,,,,,,,,,,"0.81",,,,"4.81",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-08",,,,"13","9",,,,,,,,,,,"0.90",,,,"4.41",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-09",,,,"16","13",,,,,,,,,,,"1.02",,,,"8.21",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-10",,,,"11","7",,,,,,,,,,,"2.27",,,,"5.57",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-11",,,,"9","2",,,,,,,,,,,"2.14",,,,"3.21",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-12",,,,"12","8",,,,,,,,,,,"2.90",,,,"7.93",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-01",,,,"16","10",,,,,,,,,,,"2.48",,,,"6.29",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-02",,,,"9","8",,,,,,,,,,,"0.48",,,,"2.08",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-03",,,,"15","8",,,,,,,,,,,"2.65",,,,"9.11",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-04",,,,"12","5",,,,,,,,,,,"1.37",,,,"3.46",,,,,,,,
